Nombre,Símbolo,Precio,Market_Cap,Volumen_24h
JINDOGE,JINDO,0.002222,2.22M2222454,5731225.78M
Alphakek AI,AIKEK,0.007802,1.85M1851723,24541931.45M
Hydra,HYDRA,0.06238,1.85M1849691,943211.51M
RocketX exchange,RVF,0.01972,1.85M1848058,128965.36K
Polytrade,TRADE,0.04467,1.84M1844446,2631355.89M
DeHub,DHB,0.0004514,1.84M1839945,456410.11M
Trabzonspor Fan Token,TRA,0.2322,1.8M1804262,7810653.36M
Echo Protocol,ECHO,0.005949,1.84M1839247,44070974.07M
错版马,哭哭马,0.001837,1.84M1837592,28740501.56B
PLAYA3ULL GAMES,3ULL,0.0001265,1.83M1833983,2749442.17B
Luxxcoin,LUX,0.0008007,1.83M1833123,22002252.74B
NodeOps,NODE,0.01372,1.83M1830754,2101969153.15M
Hoppy,HOPPY,0.054342,1.83M1826958,1140391262.59B
Starbucks Tokenized Stock (Ondo),SBUXon,92.45,1.83M1825818,130729514.13K
DOPU The Dog with A Purpose,DOPU,0.00228,1.82M1824843,271788119.17M
Blocery,BLY,0.001822,1.82M1822900,7090938.89M
Linde plc Tokenized Stock (Ondo),LINon,458.95,1.51M1509830,18633074.05K
Atlas Navi,NAVI,0.009296,1.5M1503323,11313412.16M
Abbott Tokenized Stock (Ondo),ABTon,109.6,1.5M1497622,183388516.73K
Areum,AREA,0.01268,1.49M1494758,3335262.98K
SubQuery Network,SQT,0.0004188,1.49M1493407,88118210.35M
Cypherium,CPH,0.003859,1.48M1478055,5537314.34M
just buy $1 worth of this coin,$1,0.001478,1.48M1477599,643941435.66M
Accenture Tokenized Stock (Ondo),ACNon,267.19,1.48M1476724,699052526.16K
Novo Nordisk tokenized stock (xStock),NVOX,59.2,1.47M1468345,761.28
Marvell tokenized stock (xStock),MRVLX,80.49,1.46M1461846,981.22
catwifmask,MASK,0.001454,1.45M1454329,360502247.82M
BASE,BASE,0.051565,1.46M1455410,51713.30B
Crypton,CRP,0.138,1.45M1449930,2830872.04M
Cycle Network,CYC,0.009364,1.44M1439282,26842828.66M
Anduril tokenized stock (PreStocks),ANDURIL,124.94,1.43M1430626,2193851.75K
Chipotle Tokenized Stock (Ondo),CMGon,38.83,1.19M1193379,2199265.66K
Akita Inu,AKITA,0.071753,1.19M1193371,827684.72T
UniBot,UNIBOT,1.18,1.19M1189641,171816144.42K
StarSlax,SSLX,0.0004751,1.19M1188576,61905130.29M
Fleek,FLK,0.05918,1.18M1183646,109681818.53M
AgriDex,AGRI,0.004163,1.18M1182539,203204.88M
Ledger AI,LEDGER,0.0006152,1.18M1180840,3122750.75M
John Tsubasa Rivals,JOHN,0.006589,1.18M1179496,451366.84M
Zero1 Labs,DEAI,0.0129,1.18M1176822,1898518147.16M
MarsDAO,MDAO,0.01663,1.17M1174530,552073.31M
Matrix AI Network,MAN,0.00248,1.17M1171784,4412317.78M
Stool Prisondente,JAILSTOOL,0.001162,1.16M1162552,231170198.78M
修仙,修仙,0.001161,1.16M1161850,835584719.18M
Donkey (DONKEY_BSC_MEME),DONKEY,0.001161,1.16M1161357,20330341.75B
Futu Holdings Tokenized Stock (Ondo),FUTUon,162.72,1.16M1160700,9104915.59K
IMGN Labs,IMGN,0.001128,959770.41959770,6024953.39M
The Nation Token,NATO,0.069386,938674.95938675,359227382.69B
GAL (migrated to Gravity - G),GAL,0.3569,958591.69958592,--
Penpie,PNP,0.6348,956090.05956090,2344036.92K
VICE Token,VICE,0.0009571,954792.95954793,1646517.20M
American Express Tokenized Stock (Ondo),AXPon,352.75,953900.27953900,550.1555
Mintlayer,ML,0.0148,950365.15950365,1428979.65M
Step Finance,STEP,0.004268,944980.29944980,540818126.71M
Housecoin,HOUSE,0.0009424,941112.07941112,434603461.15M
Atomic Wallet Coin,AWC,0.08862,939781.49939781,--
SmartCash,SMART,0.000663,937400.25937400,4263.17K
CryptoAutos,AUTOS,0.001239,936064.69936065,39173.16M
Pandu Pandas,PANDU,0.059703,935175.77935176,1216506125.36B
AIntivirus,AINTI,0.01011,931851.73931852,21098620.86M
BiCity AI Projects,BICITY,0.0002232,931470.71931471,116872523.51M
ZyFAI,ZFI,0.009845,771648.98771649,10432210.59M
Welshcorgicoin,WELSH,7.689e-05,768932.51768933,50878661.66M
Xaya,CHI,0.01322,768262.75768263,22316.88K
Rezerve Money,RZR,0.9019,768068.81768069,243269.24
Non-Playable Coin Solana,NPCS,0.0007916,767677.83767678,40385.10M
LABUBU SOL,LABUBU,0.0007687,767007.38767007,36103564.69B
Tap,XTP,0.000621,765047.54765048,--
Arm Holdings plc Tokenized Stock (Ondo),ARMon,105.68,763933.72763934,270767325.61K
Salesforce Tokenized Stock (Ondo),CRMon,212.34,762391.41762391,10966375.16K
PDD Holdings Tokenized Stock (Ondo),PDDon,101.24,758663.53758664,2875002.83K
BIG,BIG,0.0007568,756895.21756895,5037266.55M
AbbVie tokenized stock (xStock),ABBVX,222.25,755660.14755660,81215365.41
Sportbet.one Token,SBET,0.005988,755229.96755230,7067711.80M
Overlay,OVL,0.05297,753108.88753109,130836324.69M
OFFICIAL K-POP,KPOP,0.0001152,747619.41747619,1596711.38B
Butthole Coin,BHC,0.0006277,627692.82627693,431159686.88M
Shyft Network,SHFT,0.0002683,626661.57626662,1272547.41M
Bank of America tokenized stock (xStock),BACX,53.31,624284.93624285,1021.92
Riser,RIS,0.002495,623953.67623954,10610142.51M
My DeFi Pet,DPET,0.01441,622974.38622974,156641.08M
Universe Boss Coin,UBC,0.0006208,620889.58620890,179581289.23M
PepsiCo tokenized stock (xStock),PEPX,155.06,620261.24620261,89757578.83
HOME3,HTS,0.006609,616975.63616976,--
Sekuya Multiverse,SKYA,0.001525,615162.59615163,7605649.85M
BNB Card,BNB CARD,0.0006136,613692.43613692,330670538.82M
DeFi,DEFI,0.0003508,612459.87612460,191543545.92M
GAIMIN,GMRX,1.214e-05,612175.92612176,886067.29B
PINGPONG,PINGPONG,0.002114,610159.95610160,794437375.68M
Groestlcoin,GRS,0.006802,607770.83607771,--
Muhdo Hub,DNA,0.0003612,606869.53606870,--
Reality Metaverse,RMV,0.002013,503107.27503107,5611027.86M
Semantic Layer,42,0.003394,502930.22502930,1080183318.22M
SaTT,SATT,0.0001549,502805.62502806,--
REVOX,REX,0.000184,501378.5501378,2780751.51B
Rift AI,RIFT,0.001892,501343.31501343,52.70K
DUKO,DUKO,5.186e-05,501182.43501182,1683753.24B
Rage Guy,RAGE,0.0005081,500059.77500060,33656.62M
Burn,BURN,0.052627,499066.71499067,4330616.48B
Bridge AI,BRG,6.235e-05,498952.98498953,359557.65M
ISKRA Token,ISK,0.001,498675.81498676,2571625.71M
Solchat,CHAT,0.0619,497970.51497971,637991.03M
Gari Network,GARI,0.0008845,496710.21496710,89854101.58M
Spheron Network,SPON,0.002323,496068.16496068,17055473.40M
Reddit Tokenized Stock (Ondo),RDDTon,180.19,495822.63495823,13265727.36K
Kromatika,KROM,0.006144,493268.35493268,--
Roost Coin,ROOST,0.0004257,398979.66398980,1907944.81M
SUNCAT,SUNCAT,0.0003984,398480.5398480,243580611.27M
Astherus,ASTHERUS,0.0004023,393930.53393931,130119323.39M
Graphite Network,@G,0.03825,393592.68393593,1289173.36M
Integral,ITGR,0.001794,393210.12393210,118546.60M
Buckazoids,Buckazoids,0.0003915,391500.42391500,125659320.93M
DappRadar,RADAR,0.0004074,391232.43391232,1203529.53M
Bitcoin Second Chance,BTC,0.01859,390426.48390426,2640142.00K
CYBRO,CYBRO,0.002933,388416.47388416,5259617.92M
Brainlet,BRAINLET,0.0004068,387683.23387683,519112.75M
Space Nation Oikos,OIK,0.001001,330452.73330453,394080393.68M
PepeMusk,PEPEMUSK,0.0003857,385704.67385705,17554.55M
Orbofi AI,OBI,0.0002679,384229.63384230,45679170.47M
Riot Platforms Tokenized Stock (Ondo),RIOTon,15.54,384086.07384086,1901207122.26K
XANA,XETA,7.795e-05,383987.42383987,720292.38M
Kasta,KASTA,0.0004168,319105.53319106,58370140.01M
Nubila Network,NB,0.00173,318491.34318491,308834178.42M
Bubble,BUBBLE,8.617e-05,317124.6317125,43630506.28M
XOCIETY,XO,0.0004207,315599.54315600,6740091.60B
Smart Pocket,SP,0.0003031,315438.33315438,82543272.30M
UNIT0,UNIT0,0.06157,313976.84313977,1488582.41M
Crust Network,CRU,0.02218,313656.54313657,467452.10M
Torum,XTM,0.001613,313103.7313104,5931736.77M
PAWS,PAWS,0.055894,312722.97312723,25198442.74B
Ferro,FER,0.0003345,311985.35311985,2939887.87M
Ignis,IGNIS,0.0004094,311672.68311673,--
Bitcoin Plus,XBC,1.1,311473.15311473,311281.49
Alfa Romeo Racing ORLEN Fan Token,SAUBER,0.1117,311250.67311251,2399252.14M
TenUp,TUP,0.002945,310415.87310416,10993437.31M
Giveth,GIV,0.0008083,310029.4310029,159196.93K
Agent Virtual Machine,AVM,0.004971,263698.83263699,51361.03M
MoonDAO,MOONEY,0.0001905,261987.01261987,1221764.12M
Elderglade,ELDE,0.001389,261760.39261760,476052342.71M
DeFrogs,DEFROGS,26.14,261433.42261433,--
Openfabric AI,OFN,0.001489,260476.87260477,4374329.36M
PLANET,PLANET,0.063056,260268.14260268,71745234.71B
eloncoin,eloncoin,0.063796,260141.5260142,2455464.67B
Laika AI,LKI,0.0006064,259724.02259724,292349482.02M
KAI KEN,KAI,0.096136,258166.82258167,4546774.08T
Dotmoovs,MOOV,0.0003518,257277.13257277,55403157.45M
Playermon,PYM,0.000602,257137.23257137,2267237.65M
PlotX,PLOT,0.003869,256593.38256593,40161.03M
Kimbo,KIMBO,0.053687,255963.95255964,5118413.88B
Dust,DUST,0.0002549,254976.6254977,3962891.55B
5ire,5IRE,0.000174,254961.45254961,2618011.50B
Andy BSC,ANDY,0.082093,209361.34209361,1374656.32B
DOGGY,DOGGY,9.294e-05,209170.56209171,20219.02K
The Black Whale (blackwhale.fun),BLACKWHALE,0.0002117,208539.79208540,9531514.50B
Gondola,GONDOLA,0.065102,208468.15208468,--
Locked Money,LMY,0.0003456,208251.24208251,10042.90M
SAD HAMSTER,HAMMY,0.0002209,208094.12208094,391217.70M
BSCS,BSCS,0.0007704,207999.85208000,1416818.38M
Seascape Crowns,CWS,0.0272,207985.85207986,21631795.16K
Synesis One,SNS,0.0004564,208242208242,231734507.72M
Pomerium,PMG,0.001192,206881.99206882,8788073.66M
Seedworld,SWORLD,3.42e-05,206054.52206055,71620.93M
Nura Labs,NURA,2.045e-05,204506.9204507,60979629.81B
aixCB by Virtuals,AIXCB,0.0002058,204468.29204468,4512.19M
TiFi Token,TIFI,0.082606,204462.75204463,25698.21B
HUND,HUND,0.0005083,203308.08203308,85010167.22M
Skillful AI,SKAI,0.0004505,168779.12168779,354786.38K
Invest Zone,IVfun,0.0001794,168765.52168766,62348.01K
Ski Mask Cat,SKICAT,0.0001682,166599.22166599,91648544.69M
sekoia by Virtuals,SEKOIA,0.0001687,166459.13166459,73075432.94M
Kaizen Finance,KZEN,0.000387,165940.33165940,38979100.71M
Azbit,AZ,0.052376,165744.76165745,4619.28M
neur.sh,NEUR,0.0001767,164315.13164315,194410.99M
Puffverse,PFVS,0.001405,163866.19163866,438243311.83M
Okratech Token,ORT,0.0001997,163138.79163139,140720704.48M
Itheum,ITHEUM,0.000333,162030.94162031,44131.00K
EXPERT_MONEY,EXPERT,0.0002215,161714.76161715,158741716.56M
Landwolf (landwolfcoin),WOLF,0.0004138,161601.87161602,--
2016 coin,2016,0.0001616,161564.47161564,2619631.62B
DinoLFG,DINO,0.0005155,161327.82161328,--
ARTFI,ARTFI,0.00123,160372.79160373,3968532.26M
Cogito Finance,CGV,0.001323,128098.76128099,--
