indice,Nombre,Altura,Peso,Base_Experience,Altura_m,Peso_kg,BMI
252,treecko,5,50,62.0,0.5,5.0,20.0
253,grovyle,9,216,142.0,0.9,21.6,26.67
254,sceptile,17,522,239.0,1.7,52.2,18.06
255,torchic,4,25,62.0,0.4,2.5,15.62
256,combusken,9,195,142.0,0.9,19.5,24.07
257,blaziken,19,520,239.0,1.9,52.0,14.4
258,mudkip,4,76,62.0,0.4,7.6,47.5
259,marshtomp,7,280,142.0,0.7,28.0,57.14
260,swampert,15,819,241.0,1.5,81.9,36.4
261,poochyena,5,136,56.0,0.5,13.6,54.4
262,mightyena,10,370,147.0,1.0,37.0,37.0
263,zigzagoon,4,175,56.0,0.4,17.5,109.37
264,linoone,5,325,147.0,0.5,32.5,130.0
265,wurmple,3,36,56.0,0.3,3.6,40.0
266,silcoon,6,100,72.0,0.6,10.0,27.78
267,beautifly,10,284,178.0,1.0,28.4,28.4
268,cascoon,7,115,72.0,0.7,11.5,23.47
269,dustox,12,316,173.0,1.2,31.6,21.94
270,lotad,5,26,44.0,0.5,2.6,10.4
271,lombre,12,325,119.0,1.2,32.5,22.57
272,ludicolo,15,550,216.0,1.5,55.0,24.44
273,seedot,5,40,44.0,0.5,4.0,16.0
274,nuzleaf,10,280,119.0,1.0,28.0,28.0
275,shiftry,13,596,216.0,1.3,59.6,35.27
276,taillow,3,23,54.0,0.3,2.3,25.56
277,swellow,7,198,159.0,0.7,19.8,40.41
278,wingull,6,95,54.0,0.6,9.5,26.39
279,pelipper,12,280,154.0,1.2,28.0,19.44
280,ralts,4,66,40.0,0.4,6.6,41.25
281,kirlia,8,202,97.0,0.8,20.2,31.56
282,gardevoir,16,484,233.0,1.6,48.4,18.91
283,surskit,5,17,54.0,0.5,1.7,6.8
284,masquerain,8,36,159.0,0.8,3.6,5.62
285,shroomish,4,45,59.0,0.4,4.5,28.12
286,breloom,12,392,161.0,1.2,39.2,27.22
287,slakoth,8,240,56.0,0.8,24.0,37.5
288,vigoroth,14,465,154.0,1.4,46.5,23.72
289,slaking,20,1305,252.0,2.0,130.5,32.62
290,nincada,5,55,53.0,0.5,5.5,22.0
291,ninjask,8,120,160.0,0.8,12.0,18.75
292,shedinja,8,12,83.0,0.8,1.2,1.87
293,whismur,6,163,48.0,0.6,16.3,45.28
294,loudred,10,405,126.0,1.0,40.5,40.5
295,exploud,15,840,221.0,1.5,84.0,37.33
296,makuhita,10,864,47.0,1.0,86.4,86.4
297,hariyama,23,2538,166.0,2.3,253.8,47.98
298,azurill,2,20,38.0,0.2,2.0,50.0
299,nosepass,10,970,75.0,1.0,97.0,97.0
300,skitty,6,110,52.0,0.6,11.0,30.56
301,delcatty,11,326,140.0,1.1,32.6,26.94
302,sableye,5,110,133.0,0.5,11.0,44.0
303,mawile,6,115,133.0,0.6,11.5,31.94
304,aron,4,600,66.0,0.4,60.0,375.0
305,lairon,9,1200,151.0,0.9,120.0,148.15
306,aggron,21,3600,239.0,2.1,360.0,81.63
307,meditite,6,112,56.0,0.6,11.2,31.11
308,medicham,13,315,144.0,1.3,31.5,18.64
309,electrike,6,152,59.0,0.6,15.2,42.22
310,manectric,15,402,166.0,1.5,40.2,17.87
311,plusle,4,42,142.0,0.4,4.2,26.25
312,minun,4,42,142.0,0.4,4.2,26.25
313,volbeat,7,177,151.0,0.7,17.7,36.12
314,illumise,6,177,151.0,0.6,17.7,49.17
315,roselia,3,20,140.0,0.3,2.0,22.22
316,gulpin,4,103,60.0,0.4,10.3,64.37
317,swalot,17,800,163.0,1.7,80.0,27.68
318,carvanha,8,208,61.0,0.8,20.8,32.5
319,sharpedo,18,888,161.0,1.8,88.8,27.41
320,wailmer,20,1300,80.0,2.0,130.0,32.5
321,wailord,145,3980,175.0,14.5,398.0,1.89
322,numel,7,240,61.0,0.7,24.0,48.98
323,camerupt,19,2200,161.0,1.9,220.0,60.94
324,torkoal,5,804,165.0,0.5,80.4,321.6
325,spoink,7,306,66.0,0.7,30.6,62.45
326,grumpig,9,715,165.0,0.9,71.5,88.27
327,spinda,11,50,126.0,1.1,5.0,4.13
328,trapinch,7,150,58.0,0.7,15.0,30.61
329,vibrava,11,153,119.0,1.1,15.3,12.64
330,flygon,20,820,234.0,2.0,82.0,20.5
331,cacnea,4,513,67.0,0.4,51.3,320.62
332,cacturne,13,774,166.0,1.3,77.4,45.8
333,swablu,4,12,62.0,0.4,1.2,7.5
334,altaria,11,206,172.0,1.1,20.6,17.02
335,zangoose,13,403,160.0,1.3,40.3,23.85
336,seviper,27,525,160.0,2.7,52.5,7.2
337,lunatone,10,1680,161.0,1.0,168.0,168.0
338,solrock,12,1540,161.0,1.2,154.0,106.94
339,barboach,4,19,58.0,0.4,1.9,11.87
340,whiscash,9,236,164.0,0.9,23.6,29.14
341,corphish,6,115,62.0,0.6,11.5,31.94
342,crawdaunt,11,328,164.0,1.1,32.8,27.11
343,baltoy,5,215,60.0,0.5,21.5,86.0
344,claydol,15,1080,175.0,1.5,108.0,48.0
345,lileep,10,238,71.0,1.0,23.8,23.8
346,cradily,15,604,173.0,1.5,60.4,26.84
347,anorith,7,125,71.0,0.7,12.5,25.51
348,armaldo,15,682,173.0,1.5,68.2,30.31
349,feebas,6,74,40.0,0.6,7.4,20.56
350,milotic,62,1620,189.0,6.2,162.0,4.21
351,castform,3,8,147.0,0.3,0.8,8.89
352,kecleon,10,220,154.0,1.0,22.0,22.0
353,shuppet,6,23,59.0,0.6,2.3,6.39
354,banette,11,125,159.0,1.1,12.5,10.33
355,duskull,8,150,59.0,0.8,15.0,23.44
356,dusclops,16,306,159.0,1.6,30.6,11.95
357,tropius,20,1000,161.0,2.0,100.0,25.0
358,chimecho,6,10,159.0,0.6,1.0,2.78
359,absol,12,470,163.0,1.2,47.0,32.64
360,wynaut,6,140,52.0,0.6,14.0,38.89
361,snorunt,7,168,60.0,0.7,16.8,34.29
362,glalie,15,2565,168.0,1.5,256.5,114.0
363,spheal,8,395,58.0,0.8,39.5,61.72
364,sealeo,11,876,144.0,1.1,87.6,72.4
365,walrein,14,1506,239.0,1.4,150.6,76.84
366,clamperl,4,525,69.0,0.4,52.5,328.12
367,huntail,17,270,170.0,1.7,27.0,9.34
368,gorebyss,18,226,170.0,1.8,22.6,6.98
369,relicanth,10,234,170.0,1.0,23.4,23.4
370,luvdisc,6,87,116.0,0.6,8.7,24.17
371,bagon,6,421,60.0,0.6,42.1,116.94
372,shelgon,11,1105,147.0,1.1,110.5,91.32
373,salamence,15,1026,270.0,1.5,102.6,45.6
374,beldum,6,952,60.0,0.6,95.2,264.44
375,metang,12,2025,147.0,1.2,202.5,140.62
376,metagross,16,5500,270.0,1.6,550.0,214.84
377,regirock,17,2300,261.0,1.7,230.0,79.58
378,regice,18,1750,261.0,1.8,175.0,54.01
379,registeel,19,2050,261.0,1.9,205.0,56.79
380,latias,14,400,270.0,1.4,40.0,20.41
381,latios,20,600,270.0,2.0,60.0,15.0
382,kyogre,45,3520,302.0,4.5,352.0,17.38
383,groudon,35,9500,302.0,3.5,950.0,77.55
384,rayquaza,70,2065,306.0,7.0,206.5,4.21
385,jirachi,3,11,270.0,0.3,1.1,12.22
386,deoxys-normal,17,608,270.0,1.7,60.8,21.04
387,turtwig,4,102,64.0,0.4,10.2,63.75
388,grotle,11,970,142.0,1.1,97.0,80.17
389,torterra,22,3100,236.0,2.2,310.0,64.05
390,chimchar,5,62,62.0,0.5,6.2,24.8
391,monferno,9,220,142.0,0.9,22.0,27.16
392,infernape,12,550,240.0,1.2,55.0,38.19
393,piplup,4,52,63.0,0.4,5.2,32.5
394,prinplup,8,230,142.0,0.8,23.0,35.94
395,empoleon,17,845,239.0,1.7,84.5,29.24
396,starly,3,20,49.0,0.3,2.0,22.22
397,staravia,6,155,119.0,0.6,15.5,43.06
398,staraptor,12,249,218.0,1.2,24.9,17.29
399,bidoof,5,200,50.0,0.5,20.0,80.0
400,bibarel,10,315,144.0,1.0,31.5,31.5
401,kricketot,3,22,39.0,0.3,2.2,24.44
402,kricketune,10,255,134.0,1.0,25.5,25.5
403,shinx,5,95,53.0,0.5,9.5,38.0
404,luxio,9,305,127.0,0.9,30.5,37.65
405,luxray,14,420,235.0,1.4,42.0,21.43
406,budew,2,12,56.0,0.2,1.2,30.0
407,roserade,9,145,232.0,0.9,14.5,17.9
408,cranidos,9,315,70.0,0.9,31.5,38.89
409,rampardos,16,1025,173.0,1.6,102.5,40.04
410,shieldon,5,570,70.0,0.5,57.0,228.0
411,bastiodon,13,1495,173.0,1.3,149.5,88.46
412,burmy,2,34,45.0,0.2,3.4,85.0
413,wormadam-plant,5,65,148.0,0.5,6.5,26.0
414,mothim,9,233,148.0,0.9,23.3,28.77
415,combee,3,55,49.0,0.3,5.5,61.11
416,vespiquen,12,385,166.0,1.2,38.5,26.74
417,pachirisu,4,39,142.0,0.4,3.9,24.37
418,buizel,7,295,66.0,0.7,29.5,60.2
419,floatzel,11,335,173.0,1.1,33.5,27.69
420,cherubi,4,33,55.0,0.4,3.3,20.62
421,cherrim,5,93,158.0,0.5,9.3,37.2
422,shellos,3,63,65.0,0.3,6.3,70.0
423,gastrodon,9,299,166.0,0.9,29.9,36.91
424,ambipom,12,203,169.0,1.2,20.3,14.1
425,drifloon,4,12,70.0,0.4,1.2,7.5
426,drifblim,12,150,174.0,1.2,15.0,10.42
427,buneary,4,55,70.0,0.4,5.5,34.37
428,lopunny,12,333,168.0,1.2,33.3,23.12
429,mismagius,9,44,173.0,0.9,4.4,5.43
430,honchkrow,9,273,177.0,0.9,27.3,33.7
431,glameow,5,39,62.0,0.5,3.9,15.6
432,purugly,10,438,158.0,1.0,43.8,43.8
433,chingling,2,6,57.0,0.2,0.6,15.0
434,stunky,4,192,66.0,0.4,19.2,120.0
435,skuntank,10,380,168.0,1.0,38.0,38.0
436,bronzor,5,605,60.0,0.5,60.5,242.0
437,bronzong,13,1870,175.0,1.3,187.0,110.65
438,bonsly,5,150,58.0,0.5,15.0,60.0
439,mime-jr,6,130,62.0,0.6,13.0,36.11
440,happiny,6,244,110.0,0.6,24.4,67.78
441,chatot,5,19,144.0,0.5,1.9,7.6
442,spiritomb,10,1080,170.0,1.0,108.0,108.0
443,gible,7,205,60.0,0.7,20.5,41.84
444,gabite,14,560,144.0,1.4,56.0,28.57
445,garchomp,19,950,270.0,1.9,95.0,26.32
446,munchlax,6,1050,78.0,0.6,105.0,291.67
447,riolu,7,202,57.0,0.7,20.2,41.22
448,lucario,12,540,184.0,1.2,54.0,37.5
449,hippopotas,8,495,66.0,0.8,49.5,77.34
450,hippowdon,20,3000,184.0,2.0,300.0,75.0
451,skorupi,8,120,66.0,0.8,12.0,18.75
452,drapion,13,615,175.0,1.3,61.5,36.39
453,croagunk,7,230,60.0,0.7,23.0,46.94
454,toxicroak,13,444,172.0,1.3,44.4,26.27
455,carnivine,14,270,159.0,1.4,27.0,13.78
456,finneon,4,70,66.0,0.4,7.0,43.75
457,lumineon,12,240,161.0,1.2,24.0,16.67
458,mantyke,10,650,69.0,1.0,65.0,65.0
459,snover,10,505,67.0,1.0,50.5,50.5
460,abomasnow,22,1355,173.0,2.2,135.5,28.0
461,weavile,11,340,179.0,1.1,34.0,28.1
462,magnezone,12,1800,241.0,1.2,180.0,125.0
463,lickilicky,17,1400,180.0,1.7,140.0,48.44
464,rhyperior,24,2828,241.0,2.4,282.8,49.1
465,tangrowth,20,1286,187.0,2.0,128.6,32.15
466,electivire,18,1386,243.0,1.8,138.6,42.78
467,magmortar,16,680,243.0,1.6,68.0,26.56
468,togekiss,15,380,245.0,1.5,38.0,16.89
469,yanmega,19,515,180.0,1.9,51.5,14.27
470,leafeon,10,255,184.0,1.0,25.5,25.5
471,glaceon,8,259,184.0,0.8,25.9,40.47
472,gliscor,20,425,179.0,2.0,42.5,10.62
473,mamoswine,25,2910,239.0,2.5,291.0,46.56
474,porygon-z,9,340,241.0,0.9,34.0,41.98
475,gallade,16,520,233.0,1.6,52.0,20.31
476,probopass,14,3400,184.0,1.4,340.0,173.47
477,dusknoir,22,1066,236.0,2.2,106.6,22.02
478,froslass,13,266,168.0,1.3,26.6,15.74
479,rotom,3,3,154.0,0.3,0.3,3.33
480,uxie,3,3,261.0,0.3,0.3,3.33
481,mesprit,3,3,261.0,0.3,0.3,3.33
482,azelf,3,3,261.0,0.3,0.3,3.33
483,dialga,54,6830,306.0,5.4,683.0,23.42
484,palkia,42,3360,306.0,4.2,336.0,19.05
485,heatran,17,4300,270.0,1.7,430.0,148.79
486,regigigas,37,4200,302.0,3.7,420.0,30.68
487,giratina-altered,45,7500,306.0,4.5,750.0,37.04
488,cresselia,15,856,270.0,1.5,85.6,38.04
489,phione,4,31,216.0,0.4,3.1,19.37
490,manaphy,3,14,270.0,0.3,1.4,15.56
491,darkrai,15,505,270.0,1.5,50.5,22.44
492,shaymin-land,2,21,270.0,0.2,2.1,52.5
493,arceus,32,3200,324.0,3.2,320.0,31.25
494,victini,4,40,270.0,0.4,4.0,25.0
495,snivy,6,81,62.0,0.6,8.1,22.5
496,servine,8,160,145.0,0.8,16.0,25.0
497,serperior,33,630,238.0,3.3,63.0,5.79
498,tepig,5,99,62.0,0.5,9.9,39.6
499,pignite,10,555,146.0,1.0,55.5,55.5
500,emboar,16,1500,238.0,1.6,150.0,58.59
501,oshawott,5,59,62.0,0.5,5.9,23.6
502,dewott,8,245,145.0,0.8,24.5,38.28
503,samurott,15,946,238.0,1.5,94.6,42.04
504,patrat,5,116,51.0,0.5,11.6,46.4
505,watchog,11,270,147.0,1.1,27.0,22.31
506,lillipup,4,41,55.0,0.4,4.1,25.62
507,herdier,9,147,130.0,0.9,14.7,18.15
508,stoutland,12,610,225.0,1.2,61.0,42.36
509,purrloin,4,101,56.0,0.4,10.1,63.12
510,liepard,11,375,156.0,1.1,37.5,30.99
511,pansage,6,105,63.0,0.6,10.5,29.17
512,simisage,11,305,174.0,1.1,30.5,25.21
513,pansear,6,110,63.0,0.6,11.0,30.56
514,simisear,10,280,174.0,1.0,28.0,28.0
515,panpour,6,135,63.0,0.6,13.5,37.5
516,simipour,10,290,174.0,1.0,29.0,29.0
517,munna,6,233,58.0,0.6,23.3,64.72
518,musharna,11,605,170.0,1.1,60.5,50.0
519,pidove,3,21,53.0,0.3,2.1,23.33
